user_id,age,join_date
1,46,2023-12-31
2,56,2024-05-02
3,41,2024-03-12
4,24,2024-03-25
5,40,2023-12-09
6,59,2024-10-20
7,29,2024-11-21
8,56,2024-07-29
9,27,2024-07-15
10,36,2024-11-16
11,68,2024-07-30
12,37,2024-01-18
13,22,2024-06-21
14,33,2024-05-31
15,31,2024-04-24
16,28,2024-07-01
17,47,2024-05-06
18,39,2024-04-16
19,27,2024-07-03
20,43,2023-11-28
21,45,2024-03-11
22,55,2024-11-21
23,37,2024-05-15
24,40,2023-12-12
25,20,2024-04-25
26,37,2024-05-02
27,40,2024-02-04
28,70,2024-01-21
29,18,2024-07-12
30,26,2024-09-23
31,66,2024-01-11
32,57,2024-10-04
33,64,2024-01-12
34,19,2023-12-03
35,50,2024-01-15
36,51,2024-01-17
37,37,2024-08-30
38,22,2024-08-16
39,31,2024-09-25
40,36,2024-08-27
41,69,2024-03-12
42,41,2024-07-14
43,27,2024-07-09
44,27,2023-12-11
45,45,2024-06-15
46,28,2024-02-21
47,37,2024-03-25
48,63,2024-08-21
49,64,2024-01-21
50,21,2024-07-01
51,54,2024-09-14
52,50,2024-01-25
53,40,2024-11-01
54,24,2024-02-25
55,35,2024-03-10
56,68,2023-12-19
57,59,2024-04-02
58,60,2024-05-26
59,18,2024-06-16
60,28,2023-12-10
61,30,2024-07-31
62,66,2024-01-22
63,27,2024-10-11
64,49,2024-05-13
65,69,2024-10-30
66,64,2024-11-04
67,51,2024-06-06
68,32,2024-08-05
69,51,2024-08-24
70,18,2024-11-06
71,25,2024-11-21
72,25,2023-12-13
73,44,2024-10-23
74,18,2024-07-22
75,35,2024-04-23
76,42,2024-07-22
77,31,2024-08-18
78,39,2024-07-31
79,26,2024-08-21
80,49,2024-06-10
81,67,2024-10-20
82,62,2024-04-15
83,50,2024-06-11
84,45,2023-12-15
85,62,2024-07-30
86,38,2024-11-21
87,26,2024-06-18
88,23,2024-05-02
89,53,2024-07-14
90,49,2024-03-23
91,56,2024-07-22
92,37,2024-01-29
93,19,2023-12-24
94,37,2024-08-26
95,53,2024-02-22
96,26,2024-07-15
97,69,2024-10-24
98,59,2024-08-22
99,68,2024-02-26
100,19,2024-02-20
